,id,gtfs_route_id,journey_ref,start_time,end_time,gtfs_route__date,gtfs_route__line_ref,gtfs_route__operator_ref,gtfs_route__route_short_name,gtfs_route__route_long_name,gtfs_route__route_mkt,gtfs_route__route_direction,gtfs_route__route_alternative,gtfs_route__agency_name,gtfs_route__route_type
0,46287147,3083673,2889629_280623,2023-06-28 04:00:00+00:00,2023-06-28 04:57:59+00:00,2023-06-28,7716,15,149,איזור התעשיה כפר סבא-כפר סבא<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,12149,1,#,מטרופולין,3
1,46295263,3083675,584789080_280623,2023-06-28 04:05:00+00:00,2023-06-28 04:59:59+00:00,2023-06-28,7720,15,149,מסוף כרמלית-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-21,12149,2,1,מטרופולין,3
2,46281385,3083673,2207606_280623,2023-06-28 04:20:00+00:00,2023-06-28 05:17:59+00:00,2023-06-28,7716,15,149,איזור התעשיה כפר סבא-כפר סבא<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,12149,1,#,מטרופולין,3
3,46295264,3083675,584789081_280623,2023-06-28 04:25:00+00:00,2023-06-28 05:19:59+00:00,2023-06-28,7720,15,149,מסוף כרמלית-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-21,12149,2,1,מטרופולין,3
4,46255163,3083673,2889641_280623,2023-06-28 04:40:00+00:00,2023-06-28 05:37:59+00:00,2023-06-28,7716,15,149,איזור התעשיה כפר סבא-כפר סבא<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,12149,1,#,מטרופולין,3
5,46298147,3083675,2202591_280623,2023-06-28 04:45:00+00:00,2023-06-28 05:39:59+00:00,2023-06-28,7720,15,149,מסוף כרמלית-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-21,12149,2,1,מטרופולין,3
6,46269100,3083673,2889647_280623,2023-06-28 05:00:00+00:00,2023-06-28 05:57:59+00:00,2023-06-28,7716,15,149,איזור התעשיה כפר סבא-כפר סבא<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,12149,1,#,מטרופולין,3
7,46276743,3083675,4548795_280623,2023-06-28 05:05:00+00:00,2023-06-28 05:59:59+00:00,2023-06-28,7720,15,149,מסוף כרמלית-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-21,12149,2,1,מטרופולין,3
8,46255164,3083673,2889653_280623,2023-06-28 05:20:00+00:00,2023-06-28 06:17:59+00:00,2023-06-28,7716,15,149,איזור התעשיה כפר סבא-כפר סבא<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,12149,1,#,מטרופולין,3
9,46291669,3083674,33954959_280623,2023-06-28 05:25:00+00:00,2023-06-28 06:26:33+00:00,2023-06-28,7719,15,149,מסוף כרמלית-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,12149,2,#,מטרופולין,3
10,46271112,3083673,2207613_280623,2023-06-28 05:40:00+00:00,2023-06-28 06:37:59+00:00,2023-06-28,7716,15,149,איזור התעשיה כפר סבא-כפר סבא<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,12149,1,#,מטרופולין,3
11,46269182,3083674,2202440_280623,2023-06-28 05:45:00+00:00,2023-06-28 06:46:33+00:00,2023-06-28,7719,15,149,מסוף כרמלית-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,12149,2,#,מטרופולין,3
12,46255160,3083673,2889665_280623,2023-06-28 06:00:00+00:00,2023-06-28 06:57:59+00:00,2023-06-28,7716,15,149,איזור התעשיה כפר סבא-כפר סבא<->מסוף כרמלית/הכרמל-תל אביב יפו-1#,12149,1,#,מטרופולין,3
