,id,siri_snapshot_id,siri_ride_stop_id,recorded_at_time,lon,lat,bearing,velocity,distance_from_journey_start,distance_from_siri_ride_stop_meters,siri_snapshot__snapshot_id,siri_route__id,siri_route__line_ref,siri_route__operator_ref,siri_ride__id,siri_ride__journey_ref,siri_ride__scheduled_start_time,siri_ride__vehicle_ref,siri_ride__first_vehicle_location_id,siri_ride__last_vehicle_location_id,siri_ride__duration_minutes,siri_ride__gtfs_ride_id
0,2261798401,740528,1102599046,2023-06-28 04:41:24+00:00,34.910648,32.174812,108,0,27026,98,2023/06/28/04/41,5700,7720,15,42315463,2023-06-28-8342535,2023-06-28 03:45:00+00:00,4935231,2261557994,2261829250,68,46356903
1,2261802849,740529,1102603567,2023-06-28 04:42:24+00:00,34.914825,32.17382,104,0,27439,13,2023/06/28/04/42,5700,7720,15,42315463,2023-06-28-8342535,2023-06-28 03:45:00+00:00,4935231,2261557994,2261829250,68,46356903
2,2261807249,740530,1102603567,2023-06-28 04:43:11+00:00,34.916511,32.1735,102,22,27593,170,2023/06/28/04/43,5700,7720,15,42315463,2023-06-28-8342535,2023-06-28 03:45:00+00:00,4935231,2261557994,2261829250,68,46356903
3,2261811610,740531,1102603567,2023-06-28 04:44:27+00:00,34.9202,32.172622,102,47,27934,530,2023/06/28/04/44,5700,7720,15,42315463,2023-06-28-8342535,2023-06-28 03:45:00+00:00,4935231,2261557994,2261829250,68,46356903
4,2261815989,740532,1102603567,2023-06-28 04:45:09+00:00,34.923423,32.171627,116,0,28271,852,2023/06/28/04/45,5700,7720,15,42315463,2023-06-28-8342535,2023-06-28 03:45:00+00:00,4935231,2261557994,2261829250,68,46356903
5,2261820456,740534,1102612487,2023-06-28 04:46:11+00:00,34.92366,32.171485,120,0,28299,94,2023/06/28/04/46,5700,7720,15,42315463,2023-06-28-8342535,2023-06-28 03:45:00+00:00,4935231,2261557994,2261829250,68,46356903
6,2261923109,740556,1102662758,2023-06-28 05:09:37+00:00,34.909149,32.175228,99,25,26887,56,2023/06/28/05/10,5700,7720,15,42317569,2023-06-28-584789080,2023-06-28 04:05:00+00:00,77406002,2261642929,2261958707,73,46356901
7,2261927624,740557,1102662758,2023-06-28 05:10:34+00:00,34.911724,32.174705,96,43,27136,201,2023/06/28/05/11,5700,7720,15,42317569,2023-06-28-584789080,2023-06-28 04:05:00+00:00,77406002,2261642929,2261958707,73,46356901
8,2261932196,740558,1102667276,2023-06-28 05:11:36+00:00,34.914985,32.173877,100,0,27472,29,2023/06/28/05/12,5700,7720,15,42317569,2023-06-28-584789080,2023-06-28 04:05:00+00:00,77406002,2261642929,2261958707,73,46356901
9,2261936672,740559,1102667276,2023-06-28 05:12:29+00:00,34.918811,32.173019,104,0,27823,393,2023/06/28/05/13,5700,7720,15,42317569,2023-06-28-584789080,2023-06-28 04:05:00+00:00,77406002,2261642929,2261958707,73,46356901
10,2261941050,740560,1102667276,2023-06-28 05:13:18+00:00,34.921501,32.172363,108,0,28088,656,2023/06/28/05/14,5700,7720,15,42317569,2023-06-28-584789080,2023-06-28 04:05:00+00:00,77406002,2261642929,2261958707,73,46356901
